annotation_id,natural language,template format,1st worker,2nd worker,3rd worker,4th worker,5th worker,majority
A01_HW_LO_006_11_1,宿題でなくてもこの大学入学という目標は達成できると言われてしまうので、宿題だからいいと言える宿題の固有性を分析するといいでしょう。,肯定側からの宿題でなくても大学入学という目標は達成できるという反論が想定される,2,1,2,2,2,2
A01_HW_LO_006_12_1,宿題でなければ思考力を向上させるスキルが身につかないという説明が不足している。,思考力を身につけることを実現するのに，なぜ他の方法ではなく宿題という方法が良いのかの説明が不足している,3,3,3,3,3,3
A01_HW_LO_006_2_1,勉強が義務であるからという理由が、勉強するべきという主張とつながっていない。,なぜ勉強は義務であるという理由が勉強するべきという結論を支持するのかが不明確,3,3,3,3,3,3
A01_HW_LO_006_4_1,宿題がない代わりに自分のしたい勉強をするという肯定側から来るであろう主張をカバーできていない,肯定側からの宿題がない代わりに自分のしたい勉強をすればよいという反論が想定される,3,1,3,3,3,3
A01_HW_LO_006_5_1,勉強が義務だということを説明することはできていますが、なんのためにそれが義務なのかということが明示的に説明されていない,なぜ勉強は義務とすべきと考えているのかが不明確,3,2,1,3,3,3
A01_HW_LO_006_6_1,勉強しているとどんないいことがあるかの説明が不足している,なぜ生徒にとって勉強が良いことなのかが不明確,3,3,1,3,3,3
A01_HW_LO_006_7_1,宿題でなくても勉強する人は存在しうる,勉強を実現するのに，なぜ他の方法ではなく宿題という方法が良いのかの説明が不足している,1,1,1,3,3,1
A01_HW_LO_006_8_1,宿題のおかけで5時間以上勉強する生徒がどの程度いるのか不明瞭。,宿題のおかげで5時間以上勉強できる生徒はどの程度存在するかの具体性に欠ける,3,3,3,3,3,3
A01_HW_LO_006_9_1,塾で習ったことを宿題に活かせるというのは、やりたいことがスポーツなど宿題に直接関係ないことである場合でも当てはまる例にはなっていない,塾で学ぶことを宿題を活かせるというのは限定的な状況である,2,1,2,2,2,2
A01_HW_LO_015_2_1,土曜と日曜に友達と遊んだりクラブ活動をできると述べている一方で、PMは平日に習い事や塾があり、宿題を両立させられないと主張している。,肯定側の平日に習い事や塾があり、宿題を両立させられないという主張に土曜と日曜に友達と遊んだりクラブ活動をできるというのは直接的な反論になっていない,3,1,1,3,1,1
A01_HW_LO_015_4_1,ここで言いたいことがやりたいことと宿題は両立可能だということなのか、宿題の方がやりたいことよりも大事だということなのかが曖昧である,時間の使い方を考える必要があるという表現が何を意味しているのか分からない,3,1,1,1,1,1
A01_HW_LO_015_5_1,宿題の方がやりたいことよりも重要であるということの説明がない,なぜやりたいことよりも宿題を優先すべきかの説明が不足している,3,3,3,3,3,3
A01_HW_LO_015_6_1,時間の使い方をconsiderすべきということは主張していますが、considerできるというところまで説明されていない,なぜより効果的な時間の使い方を実現可能なのかが不明確,3,1,1,3,1,1
A01_HW_LO_015_7_1,時間の使い方を考えるべきという主張でどのように肯定側の言う問題を削っているかが不明瞭である,肯定側の宿題の廃止により自由な時間が増えるという主張に時間の使い方を考えるべきというのは直接的な反論になっていない,3,1,3,3,3,3
A01_HW_LO_018_1_1,PMによる健康や好きなことについての主張に対して成績が落ちることがどう関係するのかが不明瞭である,肯定側の宿題の廃止により好きなことをして健康的な生活ができるようになるという主張に宿題の廃止により成績が落ちてしまうというのは直接的な反論になっていない,3,1,3,3,3,3
A01_HW_LO_018_2_1,なぜ勉強することがより重要なのかという理由が不足している。,なぜ勉強以外のやりたいことよりも勉強を優先すべきかの説明が不足している,3,3,3,3,1,3
A01_HW_LO_018_3_1,宿題の廃止によってどの程度全く勉強しない人が増えるのかの説明が不足している,宿題の廃止はどの程度全く勉強しない人を増やすかの具体性に欠ける,3,3,2,3,3,3
A01_HW_LO_018_4_1,宿題を廃止したら生徒がどのような行動にでるのかということの分析が不足している。,なぜ生徒にとって宿題を廃止することが悪いことなのかが不明確,1,1,1,3,1,1
A01_HW_LO_018_5_1,宿題がいかに重要かということまでは描写されていない,なぜ生徒にとって宿題が良いことなのかが不明確,3,3,2,3,3,3
A01_HW_LO_018_6_1,授業内容の定着が不十分になることで生徒が実際にどのような害を被るのかの説明がない,なぜ生徒にとって授業内容の定着が不十分になることが悪いことなのかが不明確,3,3,3,3,3,3
A01_HW_LO_018_8_1,宿題をしないことで試験に落ちることの深刻性の描写が不足している。,なぜ生徒にとって試験に落ちることが悪いことなのかが不明確,2,2,3,3,1,2
A01_HW_LO_035_1_1,主張である宿題とやりたいことの両立は可能であるということについて、それが本当に可能かどうかという事象の説明が不足している,なぜ宿題とやりたいことの両立を実現可能なのかが不明確,3,2,2,3,2,2
A01_HW_LO_035_2_1,宿題によってどのようにしてタイムマネジメント能力が身につくかの説明が不足している,なぜ宿題によってタイムマネジメント能力の習得という良い結果が起こるのかが不明確,3,3,3,3,3,3
A01_HW_LO_035_4_1,授業中に宿題をするということは人によっては悪いことだと思ってしまう可能性がある,肯定側からの授業中に宿題をするのは悪いことだという反論が想定される,3,3,1,3,3,3
A01_HW_LO_035_5_1,授業中に宿題をするというのは直感的によくないことである。,肯定側からの授業中に宿題をするのはよくないという反論が想定される,3,3,1,1,3,3
A01_HW_LO_035_6_1,将来の仕事でどのようにタイムマネジメントが必要になるのかが描写されていない,なぜ生徒の将来の仕事にとってタイムマネジメント能力を習得しておくことが良いことなのかが不明確,3,3,3,3,3,3
A01_HW_LO_035_8_1,タイムマネジメント能力が将来的にも必要になるということの説明が不足している,なぜ生徒にとってタイムマネジメントをうまくできるようになることが良いことなのかが不明確,2,2,3,3,1,2
A01_HW_LO_044_1_1,なぜ宿題の方が大事なのかということを説明が不足している。,なぜクラブや塾よりも宿題を優先すべきかの説明が不足している,3,3,3,3,3,3
A01_HW_LO_044_2_1,なぜ宿題のほうが大事なのか、やめるとしたら習い事の方なのかということの積極的な説明が不足している。,なぜやりたいことよりも宿題を優先すべきかの説明が不足している,2,2,2,2,2,2
A01_HW_LO_044_3_1,宿題がどのように役立つかの説明が不足している。,宿題が役立つことの具体例には何があるか,3,3,3,3,3,3
A01_HW_LO_044_5_1,宿題の目的や効果について分析した宿題の固有性の説明が不足している。,なぜ生徒にとって宿題をすることが良いことなのかが不明確,3,2,1,3,3,3
A01_HW_LO_044_7_1,宿題の重要性についての説明が不足している。,なぜ生徒にとって宿題をすることが良いことなのかが不明確,3,3,3,3,3,3
A01_HW_LO_044_8_1,なぜ先生が内容やレベルをよく考えて宿題を作るという行動をとるかの理由がないので、そこの説明をするといいでしょう。,なぜ先生は内容やレベルをよく考えて宿題を作るという特性を持つと言えるのかが不明確,3,2,3,3,3,3
A01_HW_LO_049_1_1,勉強がトッププライオリティという説明だと、肯定側から勉強はするがそれが宿題という形態である必要はないという反論が可能になる,肯定側からの勉強の形態が宿題である必要はないという反論が想定される,2,2,2,2,2,2
A01_HW_LO_049_2_1,肯定側から勉強も大事だがやりたいことも大事だという反論が予想される。,肯定側からの勉強も大事だがやりたいことも大事だという反論が想定される,3,3,3,3,3,3
A01_HW_LO_049_3_1,勉強の重要性についての具体的な説明が不足している。,なぜ生徒にとって勉強をすることが良いことなのかが不明確,3,1,3,3,3,3
A01_HW_LO_053_1_1,全ての生徒が宿題と他のことを両立できていないわけではないという分析で止まると、MGからできない人がいることが問題だと返答されてしまう,肯定側からの宿題と他のことを両立できない人もいることが問題だという反論が想定される,2,2,3,3,2,2
A01_HW_LO_053_2_1,「全員が宿題と他のことを両立できないわけではない」という理由から「宿題は廃止しなくてもいい」という主張をしているが、どういう人が両立できないのか、なぜその人が両立できないことは問題ないのか（その人の責任だ、など）ということの深掘りができていない,なぜ全員が宿題とやりたいことを両立できるわけではないという理由が宿題を廃止しなくてもいいという結論を支持するのかが不明確,2,2,1,2,1,2
A01_HW_LO_053_3_1,宿題と部活動の両立ができたという具体例は体験談にとどまっており、一般化されていない,宿題と部活動を両立できるというのは限定的な状況である,1,2,3,2,2,2
A01_HW_LO_053_4_1,なぜ部活動をしながら宿題や睡眠の時間を確保できた例が全体に当てはまりやすいのかが説明されていない。,部活動をしながら宿題や睡眠の時間も確保できることというのは限定的な状況である,1,2,2,2,1,2
A01_HW_LO_053_6_1,宿題をすることでどのように他と違ってマネジメント能力が身につくかということの説明が不足している,マネジメント能力の習得を実現するのに，なぜ他のことではなく宿題という方法が良いのかの説明が不足している,3,3,3,3,3,3
A01_HW_LO_053_7_1,宿題をすることでマネジメントスキルが身につくプロセスが描写されていない,なぜマネジメント能力の習得を実現可能なのかが不明確,1,2,2,3,2,2
A01_HW_LO_058_1_1,成績について言及している一方で、PMは成績について重要だと考えている様子がスピーチから見られなかった,肯定側の宿題を廃止すれば自由時間が得られるという主張に成績が下がることが問題であるというのは直接的な反論になっていない,1,1,3,2,1,1
A01_HW_LO_058_2_1,成績が下るまでの過程が詳しく説明されていない,なぜ1つのことに集中することによって成績が下がるという悪い結果が起こるのかが不明確,1,3,1,1,3,1
